timestamp,protocol,src_ip,dst_ip,src_port,dst_port,length
2025-04-24 15:11:31.963626,UDP,149.248.20.104,172.20.6.14,44998,3074,496
2025-04-24 15:11:31.965309,UDP,172.20.6.14,149.248.20.104,3074,44998,159
2025-04-24 15:11:31.980066,UDP,149.248.20.104,172.20.6.14,44998,3074,592
2025-04-24 15:11:31.980123,UDP,172.20.6.14,149.248.20.104,3074,44998,169
2025-04-24 15:11:31.996158,UDP,149.248.20.104,172.20.6.14,44998,3074,530
2025-04-24 15:11:32.012238,UDP,149.248.20.104,172.20.6.14,44998,3074,622
2025-04-24 15:11:32.013409,UDP,172.20.6.14,149.248.20.104,3074,44998,169
2025-04-24 15:11:32.027970,UDP,149.248.20.104,172.20.6.14,44998,3074,394
2025-04-24 15:11:32.044418,UDP,149.248.20.104,172.20.6.14,44998,3074,606
2025-04-24 15:11:32.046609,UDP,172.20.6.14,149.248.20.104,3074,44998,169
2025-04-24 15:11:32.060040,UDP,149.248.20.104,172.20.6.14,44998,3074,441
2025-04-24 15:11:32.075427,UDP,149.248.20.104,172.20.6.14,44998,3074,534
2025-04-24 15:11:32.080051,UDP,172.20.6.14,149.248.20.104,3074,44998,169
2025-04-24 15:11:32.091560,UDP,149.248.20.104,172.20.6.14,44998,3074,478
2025-04-24 15:11:32.107895,UDP,149.248.20.104,172.20.6.14,44998,3074,533
2025-04-24 15:11:32.113320,UDP,172.20.6.14,149.248.20.104,3074,44998,169
2025-04-24 15:11:32.125223,UDP,149.248.20.104,172.20.6.14,44998,3074,433
2025-04-24 15:11:32.139949,UDP,149.248.20.104,172.20.6.14,44998,3074,548
2025-04-24 15:11:32.146708,UDP,172.20.6.14,149.248.20.104,3074,44998,169
2025-04-24 15:11:32.156240,UDP,149.248.20.104,172.20.6.14,44998,3074,509
2025-04-24 15:11:32.172046,UDP,149.248.20.104,172.20.6.14,44998,3074,577
2025-04-24 15:11:32.180215,UDP,172.20.6.14,149.248.20.104,3074,44998,169
2025-04-24 15:11:32.188090,UDP,149.248.20.104,172.20.6.14,44998,3074,503
2025-04-24 15:11:32.203904,UDP,149.248.20.104,172.20.6.14,44998,3074,582
2025-04-24 15:11:32.213380,UDP,172.20.6.14,149.248.20.104,3074,44998,165
2025-04-24 15:11:32.220102,UDP,149.248.20.104,172.20.6.14,44998,3074,426
2025-04-24 15:11:32.236129,UDP,149.248.20.104,172.20.6.14,44998,3074,578
2025-04-24 15:11:32.246596,UDP,172.20.6.14,149.248.20.104,3074,44998,165
2025-04-24 15:11:32.252724,UDP,149.248.20.104,172.20.6.14,44998,3074,444
2025-04-24 15:11:32.267967,UDP,149.248.20.104,172.20.6.14,44998,3074,630
2025-04-24 15:11:32.280084,UDP,172.20.6.14,149.248.20.104,3074,44998,169
