timestamp,protocol,src_ip,dst_ip,src_port,dst_port,length
2025-03-17 20:30:26.152336,HTTPS,17.248.192.2,172.20.1.181,443,59122,214
2025-03-17 20:30:26.152651,TCP,172.20.1.181,17.248.192.2,59122,443,66
2025-03-17 20:30:26.323741,TCP,172.20.1.181,52.35.150.14,56926,443,78
2025-03-17 20:30:26.358336,HTTPS,172.20.1.181,17.248.192.2,59122,443,199
2025-03-17 20:30:26.358586,HTTPS,172.20.1.181,17.248.192.2,59122,443,1007
2025-03-17 20:30:26.358696,HTTPS,172.20.1.181,17.248.192.2,59122,443,97
2025-03-17 20:30:26.368382,TCP,17.248.192.2,172.20.1.181,443,59122,66
2025-03-17 20:30:26.369492,TCP,17.248.192.2,172.20.1.181,443,59122,66
2025-03-17 20:30:26.369496,TCP,17.248.192.2,172.20.1.181,443,59122,66
2025-03-17 20:30:26.383547,HTTPS,172.20.1.181,17.248.192.2,59121,443,238
2025-03-17 20:30:26.383781,HTTPS,172.20.1.181,17.248.192.2,59121,443,1020
2025-03-17 20:30:26.383879,HTTPS,172.20.1.181,17.248.192.2,59121,443,97
2025-03-17 20:30:26.393056,TCP,17.248.192.2,172.20.1.181,443,59121,66
2025-03-17 20:30:26.394218,TCP,17.248.192.2,172.20.1.181,443,59121,66
2025-03-17 20:30:26.394221,HTTPS,17.248.192.2,172.20.1.181,443,59121,101
2025-03-17 20:30:26.394407,TCP,172.20.1.181,17.248.192.2,59121,443,66
2025-03-17 20:30:26.413438,HTTPS,17.248.192.2,172.20.1.181,443,59122,705
2025-03-17 20:30:26.413442,HTTPS,17.248.192.2,172.20.1.181,443,59122,97
2025-03-17 20:30:26.413641,TCP,172.20.1.181,17.248.192.2,59122,443,66
2025-03-17 20:30:26.435953,TCP,17.248.192.2,172.20.1.181,443,59121,66
2025-03-17 20:30:26.464947,HTTPS,17.248.192.2,172.20.1.181,443,59121,1514
2025-03-17 20:30:26.464951,TCP,17.248.192.2,172.20.1.181,443,59121,1514
2025-03-17 20:30:26.464954,HTTPS,17.248.192.2,172.20.1.181,443,59121,909
2025-03-17 20:30:26.465361,TCP,172.20.1.181,17.248.192.2,59121,443,66
2025-03-17 20:30:26.485529,HTTPS,172.20.1.181,17.248.192.2,59120,443,105
2025-03-17 20:30:26.485807,HTTPS,172.20.1.181,17.248.192.2,59120,443,90
2025-03-17 20:30:26.486042,TCP,172.20.1.181,17.248.192.2,59120,443,66
2025-03-17 20:30:26.495883,TCP,17.248.192.2,172.20.1.181,443,59120,66
2025-03-17 20:30:26.495887,TCP,17.248.192.2,172.20.1.181,443,59120,66
2025-03-17 20:30:26.496128,TCP,172.20.1.181,17.248.192.2,59120,443,66
2025-03-17 20:30:26.615114,TCP,172.20.1.181,17.248.192.10,59123,443,78
2025-03-17 20:30:26.625382,TCP,17.248.192.10,172.20.1.181,443,59123,74
